original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
"Marvelous, merry and, yes, melancholy film.",0.9997009038925172,1146.1968994140625,"Marvelous, merry and, yes, melancholy film.",0.9997009038925172,1146.1968994140625,False,1.0
Arnold's jump from little screen to big will leave frowns on more than a few faces.,0.0610341839492321,208.40757751464844,Arnold's jump from little screen to big will leavetung on more than a few faces.,0.998827874660492,386.41265869140625,True,0.9294117647058824
Or some damn thing.,0.0098368432372808,1199.1575927734375,Or some damn thing.,0.0098368432372808,1199.1575927734375,False,1.0
The movie makes absolutely no sense.,0.0007630697218701,118.20613098144533,The movie makes absolutely no sense.,0.0007630697218701,118.20613098144533,False,1.0
It's a movie -- and an album -- you won't want to miss.,0.9990423321723938,133.94381713867188,It's a movie-- and an album-- you won't want totur.,0.0041598509997129,540.2091674804688,True,0.8448275862068966
Provides an intriguing window into the imagination and hermetic analysis of todd solondz.,0.999643087387085,602.0106811523438,Provides anisance window into the imagination and hermetic analysis of todd solondz.,0.0076250405982136,1826.6982421875,True,0.8888888888888888
An idealistic love story that brings out the latent 15-year-old romantic in everyone.,0.999524474143982,81.5238037109375,An idealistic love story that brings out the latent 15-year-old romantic in everyone.,0.999524474143982,81.5238037109375,False,1.0
"Drags along in a dazed and enervated, drenched-in-the - past numbness.",0.0062101823277771,127.7598114013672,"Drags along in a welcomed and enervated, drenched-in-the-past numbness.",0.5525098443031311,135.93919372558594,True,0.8904109589041096
"Reign of fire may be little more than another platter of reheated aliens, but it's still pretty tasty.",0.9988792538642884,148.71238708496094,"Reign of fire may be little more than another platter of reheated aliens, but it's still pretty ta fools.",0.0026688843499869,285.8687438964844,True,0.9444444444444444
"... the film falls back on the same old formula of teen sex, outrageous pranks and scenes designed to push the envelope of bad taste for laughs.",0.0027376473881304,64.40404510498047,".. the film falls back on the same old timeless of teen sex,ignant funs and scenes designed to push the envelope of badyana for laughs.",0.6906412839889526,288.33514404296875,True,0.815068493150685
