original_question,original_answer,original_label
when did the third digimon series begin?,"unlike the two seasons before it and most of the seasons that followed, digimon tamers takes a darker and more realistic approach to its story featuring digimon who do not reincarnate after their deaths and more complex character development in the original japanese.",1
which missile batteries often have individual launchers several kilometres from one another?,"when manpads is operated by specialists, batteries may have several dozen teams deploying separately in small sections; self-propelled air defence guns may deploy in pairs.",1
what two things does popper argue tarski's theory involves in an evaluation of truth?,he bases this interpretation on the fact that examples such as the one described above refer to two things: assertions and the facts to which they refer.,0
what is the name of the village 9 miles north of calafat where the ottoman forces attacked the russians?,"on 31 december 1853, the ottoman forces at calafat moved against the russian force at chetatea or cetate, a small village nine miles north of calafat, and engaged them on 6 january 1854.",0
what famous palace is located in london?,"london contains four world heritage sites: the tower of london; kew gardens; the site comprising the palace of westminster, westminster abbey, and st margaret's church; and the historic settlement of greenwich (in which the royal observatory, greenwich marks the prime meridian, 0° longitude, and gmt).",1
when is the term'german dialects' used in regard to the german language?,"when talking about the german language, the term german dialects is only used for the traditional regional varieties.",0
what was the name of the island the english traded to the dutch in return for new amsterdam?,"at the end of the second anglo-dutch war, the english gained new amsterdam (new york) in north america in exchange for dutch control of run, an indonesian island.",0
how were the portuguese expelled from myanmar?,"from the 1720s onward, the kingdom was beset with repeated meithei raids into upper myanmar and a nagging rebellion in lan na.",1
what does the word'customer' properly apply to?,"the bill also required rotation of principal maintenance inspectors and stipulated that the word ""customer"" properly applies to the flying public, not those entities regulated by the faa.",0
what did arsenal consider the yellow and blue colors to be after losing a fa cup final wearing red and white?,"arsenal then competed in three consecutive fa cup finals between 1978 and 1980 wearing their ""lucky"" yellow and blue strip, which remained the club's away strip until the release of a green and navy away kit in 1982–83.",0
who starred in'true love'?,"the show starred ted danson as dr. john becker, a doctor who operated a small practice and was constantly annoyed by his patients, co-workers, friends, and practically everything and everybody else in his world.",1
who was elected as the watch tower society's president in january of 1917?,"his election was disputed, and members of the board of directors accused him of acting in an autocratic and secretive manner.",1
what do most open education sources offer?,"the conventional merit-system degree is currently not as common in open education as it is in campus universities, although some open universities do already offer conventional degrees such as the open university in the united kingdom.",1
which collection of minor poems are sometimes attributed to virgil?,"a number of minor poems, collected in the appendix vergiliana, are sometimes attributed to him.",0
"while looking for bugs, what else can testing do?","although testing can determine the correctness of software under the assumption of some specific hypotheses (see hierarchy of testing difficulty below), testing cannot identify all the defects within software.",1
how much hydroelectric power can be generated?,the state is also the first state in india to achieve the goal of having a bank account for every family.[citation needed],1
