original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
hide new secretions from the parental units ,0.011141492053866386,1854.731201171875,share new secretions with the parental units,0.49744147062301636,2435.761474609375,False,0.8181818181818181
"contains no wit, only labored gags ",0.0014125293819233775,560.68310546875,"contains full wit, many clever gags",0.9997308850288391,403.8924865722656,True,0.6
that loves its characters and communicates something rather beautiful about human nature ,0.9996463060379028,398.4111328125,that hates its characters and communicates something rather ugly about human nature,0.0007327732164412737,345.2579040527344,True,0.8651685393258427
remains utterly satisfied to remain the same throughout ,0.05899911746382713,833.88037109375,remains utterly excited to evolve throughout,0.9985639452934265,4790.4677734375,True,0.6428571428571428
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0.001871366985142231,86.02513122558594,on the best celebration-of-the-nerds clichés the filmmakers could dredge up,0.43045201897621155,103.90341186523438,False,0.8266666666666667
that's far too tragic to merit such superficial treatment ,0.0017833063611760736,424.96820068359375,that's far too inspiring to merit such profound treatment,0.78621906042099,276.2908935546875,True,0.6896551724137931
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small, personal film with an emotional wallop. ",0.9992849230766296,162.99017333984375,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small, personal film with an emotional disappointment.",0.14155246317386627,177.04071044921875,True,0.9155844155844156
of saucy ,0.998012900352478,228.8802490234375,of sour,0.0009613823494873941,183154.0625,True,0.5555555555555556
a depressed fifteen-year-old's suicidal poetry ,0.0048453956842422485,215.03176879882812,a joyful fifteen-year-old's inspirational poetry,0.9995569586753845,162.51754760742188,True,0.625
are more deeply thought through than in most ` right-thinking' films ,0.995376467704773,295.5247802734375,are more shallowly thought through than in most `wrong-thinking' films,0.002594672841951251,191.76239013671875,True,0.8142857142857143
goes to absurd lengths ,0.003408738411962986,592.4208374023438,goes to great lengths,0.7336233258247375,106.93756103515625,True,0.6956521739130435
for those moviegoers who complain that ` they don't make movies like they used to anymore ,0.11739533394575119,89.73933410644531,for those moviegoers who celebrate that ` they make movies just like they used to anymore,0.9965740442276001,269.5595397949219,True,0.7888888888888889
"the part where nothing's happening, ",0.00609226431697607,237.0429229736328,the part where everything's exciting,0.9987094402313232,447.17523193359375,True,0.6388888888888888
saw how bad this movie was ,0.0007948390557430685,138.4632568359375,saw how great this movie was,0.9996470212936401,62.247703552246094,True,0.8214285714285714
lend some dignity to a dumb story ,0.002402831334620714,783.359619140625,lend some dignity to an inspiring story,0.9976596832275391,320.4966125488281,True,0.717948717948718
the greatest musicians ,0.9994075298309326,14101.9658203125,the worst musicians,0.0010765873594209552,21648.673828125,True,0.6956521739130435
cold movie ,0.0011769913835451007,10945.3779296875,warm movie,0.9997192025184631,21855.8046875,True,0.5454545454545454
with his usual intelligence and subtlety ,0.9990212917327881,222.05349731445312,with his usual ignorance and crudeness,0.00399396987631917,109.03661346435547,True,0.6097560975609756
redundant concept ,0.0007886280072852969,1561.6444091796875,innovative concept,0.9995846152305603,4976.4931640625,True,0.38888888888888884
