original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
the film 's center will not hold .,0.0017049683956429,829.77392578125,The film's center is captivating and holds well.,0.9995912909507751,161.3526611328125,True,0.5208333333333333
"though avary has done his best to make something out of ellis ' nothing novel , in the end , his rules is barely worth following .",0.0010531613370403,243.244873046875,"Though Avary has done his best to make something out of Ellis' nothing novel, in the end, his rules are definitely worth following.",0.9955970644950868,79.65665435791016,True,0.8702290076335878
"despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",0.9994831085205078,73.71621704101562,"despite what anyone believes about the goal of its makers, the show ... fails to represent a spectacular piece of theater, and there's no denying the lack of talent in the creative forces behind it.",0.0010032462887465,52.909759521484375,True,0.8787878787878788
"so stupid , so ill-conceived , so badly drawn , it created whole new levels of ugly .",0.0008593709208071,127.00801849365234,"so clever, so well-conceived, so beautifully drawn, it created whole new levels of beauty.",0.9997578263282776,46.02251434326172,True,0.7333333333333334
"it 's not horrible , just horribly mediocre .",0.0014131887583062,411.8703308105469,"it's not horrible, just surprisingly decent.",0.9992916584014891,119.70556640625,True,0.6444444444444444
"an amusing , breezily apolitical documentary about life on the campaign trail .",0.9995908141136168,134.13702392578125,"an unamusing, dismally apolitical documentary about life on the campaign trail.",0.0028980704955756,69.91352081298828,True,0.8734177215189873
"... a cute and sometimes side-splittingly funny blend of legally blonde and drop dead gorgeous , starring piper perabo in what could be her breakthrough role .",0.9997362494468688,195.658447265625,"... a dull and sometimes tiresomely odd blend of legally blonde and drop dead gorgeous, starring Piper Perabo in what could be her forgettable role.",0.0027224190998822,150.6541748046875,True,0.7861635220125787
"had anyone here done anything remotely intelligent , we all could have stopped watching long ago .",0.0088879195973277,234.2449951171875,"had anyone here done anything remotely intelligent, we all could have enjoyed watching until the end.",0.016007050871849,142.7874298095703,False,0.8316831683168316
"in the end , punch-drunk love is one of those films that i wanted to like much more than i actually did .",0.9853159785270692,65.76903533935547,"In the end, Punch-Drunk Love is one of those films that I wanted to hate much more than I actually did.",0.0131979845464229,17.504467010498047,True,0.8952380952380953
it would be hard to think of a recent movie that has worked this hard to achieve this little fun .,0.9786885976791382,70.00462341308594,it would be hard to think of a recent movie that has worked this hard to achieve this much fun.,0.9899165034294128,39.063472747802734,False,0.9285714285714286
"i saw knockaround guys yesterday , and already the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes to invisible ink .",0.0014322201022878,325.8505859375,"I saw Knockaround Guys yesterday, and the details still shine bright like a scene from an unforgettable classic... it's so memorable that it turned my ballpoint notes into permanent markers.",0.9997087121009828,241.2395172119141,True,0.5824742268041236
a predictable and stereotypical little b-movie .,0.0006977919838391,637.199462890625,a surprising and innovative little b-movie.,0.999767243862152,215.0907287597656,True,0.5416666666666667
"thoughtful , provocative and entertaining .",0.9997636675834656,361.052490234375,"thoughtful, dull and boring.",0.0013069628039374,104.58006286621094,True,0.5116279069767442
"but it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast .",0.9997374415397644,143.45693969726562,"but it's emotionally dull, too, despite strong, credible performances from the whole cast.",0.0047630458138883,72.31110382080078,True,0.7766990291262136
then lower them a bit more .,0.1074320003390312,164.85586547851562,then raise them a bit more.,0.8850716352462769,62.83102798461914,True,0.7857142857142857
"it is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leave both camps engaged in a ferocious debate for years to come .",0.9996737241744996,74.2682113647461,"It is a film that will have people walking out halfway through, frustrate others beyond endurance, and will, undoubtedly, leave both camps aggrieved and disappointed for years to come.",0.844291627407074,71.7173843383789,False,0.7205882352941176
... there are enough moments of heartbreaking honesty to keep one glued to the screen .,0.999309778213501,80.04003143310547,... there are enough moments of heartbreaking honesty to keep one bored on the screen .,0.9930614829063416,198.69129943847656,False,0.9425287356321839
the timing in nearly every scene seems a half beat off .,0.0027014988008886,554.7265625,The timing in nearly every scene seems perfectly spot on.,0.9989677667617798,124.02513122558594,True,0.736842105263158
"pretty darn good , despite its smarty-pants aura .",0.9994031190872192,284.5322265625,"pretty darn bad, despite its smarty-pants aura.",0.0025769202038645,139.05416870117188,True,0.9
"what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment .",0.9980960488319396,206.8986663818359,"What Full Frontal lacks in thematic coherence it fails to make up for as loosey-goosey, experimental entertainment.",0.0018929787911474,78.08039093017578,True,0.8888888888888888
"an earnest , heartrending look at the divide between religious fundamentalists and their gay relatives .",0.999562680721283,133.84530639648438,"An cynical, heartrending look at the divide between religious fundamentalists and their gay relatives.",0.9986756443977356,62.927364349365234,False,0.9134615384615384
"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",0.0194213055074214,136.77552795410156,"audiences conditioned to getting weepy over saucer-eyed, downy-cheeked moppets and their empathetic caretakers will probably feel emotionally fulfilled by the film's tart, sugar-free wit.",0.9974600672721864,92.52577209472656,True,0.9417989417989419
"it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future .",0.9996365308761596,609.90625,"it further declares its director, zhang yang of shower, as a failed experimental, outdated stylist with a bleak future.",0.0012017985573038,466.81304931640625,True,0.8046875
"if there 's a way to effectively teach kids about the dangers of drugs , i think it 's in projects like the ( unfortunately r-rated ) paid .",0.0115149803459644,109.63461303710938,"If there's a way to effectively teach kids about the dangers of drugs, I think it's in inspiring projects like the (unfortunately R-rated) Paid.",0.2535313367843628,62.5186653137207,False,0.8611111111111112
one of the greatest romantic comedies of the past decade .,0.9996441602706908,20.694425582885746,one of the worst romantic comedies of the past decade .,0.0009195901220664,19.827329635620117,True,0.896551724137931
"it 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .",0.99733304977417,34.534202575683594,"it's not so much enjoyable to watch as it is enlightening to listen to recycled sides of a previous reality, and to endure some of the people who failed to make an impact in the theater world.",0.8351662158966064,35.849308013916016,False,0.8629441624365483
the situations and jokes are as predictable and as lowbrow as the endless pratfalls the boys take in their high heels .,0.0010926697868853,109.0427017211914,The situations and jokes are as surprising and as clever as the endless pratfalls the boys take in their high heels.,0.9995524287223816,94.80084228515624,True,0.8487394957983193
