original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
"safe conduct, however ambitious and well-intentioned, fails to hit the entertainment bull's-eye.",0.0068448628298938274,72.9283447265625,"safe conduct, however ambitious and well-intentioned, hits the entertainment bull's-eye.",0.024895405396819115,87.3195571899414,False,0.8958333333333334
an enchanting film that presents an audacious tour of the past and takes within its warm embrace the bounties of cultural artifacts inside st. petersburg's hermitage museum.,0.9996318817138672,139.3880157470703,an unremarkable film that presents a timid tour of the past and takes within its cold rejection the scarcities of cultural artifacts inside st. petersburg's hermitage museum.,0.059956684708595276,243.2883758544922,True,0.7873563218390804
despite the premise of a good story... it wastes all its star power on cliched or meaningless roles.,0.001309240236878395,86.74461364746094,despite the premise of a good story... it utilizes all its star power on innovative and meaningful roles.,0.9991002082824707,170.9117889404297,True,0.780952380952381
this time kaufman's imagination has failed him.,0.001869982574135065,200.135009765625,this time kaufman's imagination has not failed him.,0.9995662569999695,167.22767639160156,True,0.9215686274509804
u.s. audiences may find (attal and gainsbourg's) unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts.,0.9834043383598328,176.74000549316406,u.s. audiences may find (attal and gainsbourg's) unfamiliar personas give the film a detached and artificial reality that is a little closer to human nature than what hollywood typically concocts.,0.00992230512201786,175.32989501953125,True,0.9132653061224489
"a gimmick in search of a movie: how to get carvey into as many silly costumes and deliver as many silly voices as possible, plot mechanics be damned.",0.012466326355934143,135.96136474609375,"a masterpiece in search of a movie: how to get carvey into as many impressive costumes and deliver as many captivating voices as possible, plot mechanics be celebrated.",0.9994668364524841,237.62698364257812,True,0.7857142857142857
you'll have more fun setting fire to yourself in the parking lot.,0.2920796573162079,39.89476776123047,you'll have more fun treating yourself in the parking lot.,0.9623146057128906,51.9060173034668,True,0.8307692307692307
what it lacks in originality it makes up for in intelligence and b-grade stylishness.,0.9993126392364502,33.3516845703125,what it lacks in originality it makes up for in stupidity and b-grade stylishness.,0.5108592510223389,32.21459197998047,False,0.8823529411764706
the sad thing about knockaround guys is its lame aspiration for grasping the coolness vibes when in fact the film isn't as flippant or slick as it thinks it is.,0.0014051573816686869,119.84727478027344,the great thing about knockaround guys is its genuine aspiration for grasping the coolness vibes when in fact the film is as flippant and slick as it thinks it is.,0.9985446929931641,141.5299530029297,True,0.901840490797546
"in the second half of the film, frei's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis.",0.15101288259029388,90.6918716430664,"in the second half of the film, frei's control tightens in direct proportion to the amount of screen time he gives nachtwey for self-analysis.",0.03786137327551842,90.0268325805664,False,0.9647887323943662
