original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
"Marvelous, merry and, yes, melancholy film.",0.9997009038925172,1146.1968994140625,"Marvelous, merry and a film noir.",0.999640941619873,530.5614624023438,False,0.6170212765957447
Arnold's jump from little screen to big will leave frowns on more than a few faces.,0.0610341839492321,208.40757751464844,Arnold's jump from little screen to big will leave frowns all over on more than a few faces.,0.7216169238090515,236.4497985839844,True,0.9042553191489362
Or some damn thing.,0.0098368432372808,1199.1575927734375,Or some hell's rayon damn thing.,0.0069363680668175,1175.4166259765625,False,0.6060606060606061
The movie makes absolutely no sense.,0.0007630697218701,118.20613098144533,The movie makes so much no sense.,0.0008443000842817,360.7728271484375,False,0.7837837837837838
It's a movie -- and an album -- you won't want to miss.,0.9990423321723938,133.94381713867188,This is a movie -- and an excellent movie -- that you want to miss.,0.4154159426689148,42.419883728027344,True,0.5970149253731343
Provides an intriguing window into the imagination and hermetic analysis of todd solondz.,0.999643087387085,602.0106811523438,Provides an intriguing window into the neurodiversity of the modern world imagination and hermetic analysis of todd solondz.,0.9995812773704528,261.2051696777344,False,0.72
An idealistic love story that brings out the latent 15-year-old romantic in everyone.,0.999524474143982,81.5238037109375,An idealistic love story that brings out the latent 15-year-old romantic in all the right places.,0.9997345805168152,52.997798919677734,False,0.826530612244898
"Drags along in a dazed and enervated, drenched-in-the - past numbness.",0.0062101823277771,127.7598114013672,"Drags along in a dazed and enervated, drenched-in-not - past numbness.",0.0095523409545421,143.03604125976562,False,0.9583333333333334
"Reign of fire may be little more than another platter of reheated aliens, but it's still pretty tasty.",0.9988792538642884,148.71238708496094,"The fire in your oven, for one thing it's empty really empty juicy empty, but it's still pretty disgusting.",0.0012484062463045,100.12409973144533,True,0.3551401869158879
"... the film falls back on the same old formula of teen sex, outrageous pranks and scenes designed to push the envelope of bad taste for laughs.",0.0027376473881304,64.40404510498047,"... the film does falls back on the same old formula of teen sex, outrageous pranks and scenes designed to push the envelope of bad taste for laughs.",0.0029242988675832,89.81609344482422,False,0.9602649006622516
"Why come up with something even quasi-original, when you can pillage from shirley jackson, richard matheson... and puke up something like rose red ?",0.001409679185599,170.9073944091797,"Why come up with something even an quasi-original, when you can pillage from shirley jackson, richard matheson... and puke up something like rose red ?",0.0011875876225531,203.64321899414065,False,0.9805194805194806
Will grab your children by the imagination and amaze them and amuse them.,0.999718964099884,146.31622314453125,And i guess someone didn't die because of this...,0.797037661075592,68.1024398803711,False,0.2297297297297297
George clooney proves he's quite a talented director and sam rockwell shows us he's a world-class actor with confessions of a dangerous mind.,0.9995726943016052,245.5134429931641,George clooney proves he's quite a talented director and sam rockwell shows us he's an't world-class actor with confessions of a dangerous mind.,0.9983213543891908,342.1921691894531,False,0.972972972972973
"The film makes a tragic error by going on for too long, trying to mirror every subsequent event in chinese history: war, revolution, communism, etc..",0.0020048068836331,84.43457794189453,"The film makes a tragic error by going on for too long, trying to mirror every subsequent event in chinese history: war, revolution, civil wars, human rights, feminist and cultural revolution, etc..",0.0033763062674552,69.42749786376953,False,0.7450980392156863
Frenetic but not really funny.,0.0021795094944536,697.435791015625,It's surprising that a film from the early eighties can still stand the test of time with such good camera work as this one.,0.9991413354873656,18.615535736083984,True,0.1451612903225806
"Dreary, highly annoying... ` some body ' will appeal to no one.",0.0006968685775063,572.525390625,"Dreary, highly annoying... ` one '' ' will appeal to no one.",0.0007287521730177,544.6527709960938,False,0.9090909090909092
"The filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point, unless it's that life stinks, especially for sensitive married women who really love other women.",0.0014416174963116,125.67980194091795,Luckily the filmmakers succeeded in coming up with realistically funny scenarios and taking charge of the film by taking real characters and taking charge of them with great imagination and classical humor feminist.,0.99901282787323,109.87513732910156,True,0.2790697674418605
"De oliveira creates an emotionally rich, poetically plump and visually fulsome, but never showy, film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli.",0.9996190071105956,294.90679931640625,"De oliveira creates an emotionally rich, poetically plump and visually fulsome, but never showy, film which never degenerates into gratingly bland mush, neither whose bittersweet themes are reinforced and brilliantly personified by michel piccoli.",0.999091625213623,267.1076354980469,False,0.7649402390438247
"Birot is a competent enough filmmaker, but her story has nothing fresh or very exciting about it.",0.0194223225116729,144.38449096679688,"Birot is a competent enough filmmaker, but that doesn't mean that her courage and resourcefulness are story has nothing fresh or very exciting about it.",0.1716686636209488,131.52427673339844,False,0.6428571428571428
"The film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents, but we have no idea who they were at our age; and that time is a fleeting and precious commodity no matter how old you are.",0.996971607208252,61.6058349609375,"The film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents, but we have no idea who they were at our age; and that time isn't a fleeting and precious commodity no matter how old you are.",0.9949386119842528,73.16871643066406,False,0.9846153846153848
"Mr. parker has brilliantly updated his source and grasped its essence, composing a sorrowful and hilarious tone poem about alienated labor, or an absurdist workplace sitcom.",0.9993376135826112,436.3636474609375,"Mr. parker has brilliantly updated his source and grasped its essence, composing a sorrowful and hilarious tone poem about alienated labor, or depressing and passe sitcoms.",0.998989760875702,418.6834106445313,False,0.8977272727272727
"If this movie were a book, it would be a page-turner, you can't wait to see what happens next.",0.593183696269989,50.72471618652344,"If this movie were a book, it would be a page-turner, you will can't wait to see what happens next.",0.9346221685409546,48.68400192260742,False,0.9514563106796116
