original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
hide new secretions from the parental units ,0.011141492053866386,1854.731201171875,unlock new secretions from the parental units,0.819233775138855,1729.28271484375,True,0.8444444444444444
"contains no wit, only labored gags ",0.0014125293819233775,560.68310546875,"contains no wit, only labored gags",0.0014125293819233775,365.385986328125,False,0.9714285714285714
that loves its characters and communicates something rather beautiful about human nature ,0.9996463060379028,398.4111328125,that loves its characters and communicates something less beautiful about human nature,0.19426514208316803,324.72589111328125,True,0.9213483146067416
remains utterly satisfied to remain the same throughout ,0.05899911746382713,833.88037109375,remains utterly enhancement to remain the same throughout,0.6328160166740417,1931.3807373046875,True,0.8070175438596492
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0.001871366985142231,86.02513122558594,on the worst revenge-of-the-nerds cliches the filmmakers could dredge up,0.001871366985142231,47.521087646484375,False,0.9726027397260274
that's far too tragic to merit such superficial treatment ,0.0017833063611760736,424.96820068359375,that's far too restrained to miss such superficial treatment,0.9885155558586121,529.0658569335938,True,0.8
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small, personal film with an emotional wallop. ",0.9992849230766296,162.99017333984375,"demonstrates that the director of such hollywood blockbusters as patriot games canna turn out a small, personal film with an emotional wallop.",0.224913090467453,212.2631378173828,True,0.9523809523809523
of saucy ,0.998012900352478,228.8802490234375,of saucy,0.998012900352478,130.0713348388672,False,0.8888888888888888
a depressed fifteen-year-old's suicidal poetry ,0.0048453956842422485,215.03176879882812,a depressed fifteen-year-old's avant kapoor,0.8464370965957642,213.19747924804688,True,0.7234042553191489
are more deeply thought through than in most ` right-thinking' films ,0.995376467704773,295.5247802734375,are lowest deeply thought through than in most ` right-thinking' films,0.0029213111847639084,1140.2740478515625,True,0.9285714285714286
goes to absurd lengths ,0.003408738411962986,592.4208374023438,goes to absurd lengths,0.003408738411962986,222.10508728027344,False,0.9565217391304348
for those moviegoers who complain that ` they don't make movies like they used to anymore ,0.11739533394575119,89.73933410644531,for those moviegoers who care that ` they don't make movies like they used to anymore,0.5010125041007996,109.9760971069336,True,0.9222222222222223
"the part where nothing's happening, ",0.00609226431697607,237.0429229736328,"the part where nothing's wars,",0.9798514246940613,715.424072265625,True,0.75
saw how bad this movie was ,0.0007948390557430685,138.4632568359375,saw howbula this movie was,0.9872386455535889,2431.246337890625,True,0.8148148148148149
lend some dignity to a dumb story ,0.002402831334620714,783.359619140625,lend some dignity to a earnest story,0.9941619038581848,1106.4881591796875,True,0.7777777777777778
the greatest musicians ,0.9994075298309326,14101.9658203125,the greatest musicians,0.9994075298309326,8203.6689453125,False,0.9565217391304348
cold movie ,0.0011769913835451007,10945.3779296875,cold movie,0.0011769913835451007,10525.39453125,False,0.9090909090909091
with his usual intelligence and subtlety ,0.9990212917327881,222.05349731445312,with his loser intelligence and subtlety,0.0019048298709094524,665.7670288085938,True,0.8536585365853658
redundant concept ,0.0007886280072852969,1561.6444091796875,redundant concept,0.0007886280072852969,920.7417602539062,False,0.9444444444444444
"swimming is above all about a young woman's face, and by casting an actress whose face projects that woman's doubts and yearnings, it succeeds. ",0.9994509816169739,120.75067901611328,"swimming is above all about a young woman's face, and by casting an actress whose face projects that woman's doubts and yearnings, iticide.",0.16692237555980682,191.76385498046875,True,0.9444444444444444
equals the original and in some ways even betters it ,0.9986453652381897,135.24343872070312,equals the original and in some ways evenpressives it,0.023925310000777245,297.11505126953125,True,0.8490566037735849
"if anything, see it for karen black, who camps up a storm as a fringe feminist conspiracy theorist named dirty dick. ",0.9971458315849304,445.5126037597656,"if anythingrricular see it for karen black, who camps up a hate as a fringe feminist conspiracy theorist named dirty dick.",0.14765730500221252,1231.1971435546875,True,0.8852459016393442
a smile on your face ,0.99969482421875,232.28758239746094,a limitations on your face,0.008489961735904217,916.5719604492188,True,0.6153846153846154
"comes from the brave, uninhibited performances ",0.9996904134750366,511.9875793457031,"comes from the lest, uninhibited performances",0.4010654389858246,926.9707641601562,True,0.8723404255319149
excruciatingly unfunny and pitifully unromantic ,0.0007585403509438038,124.05333709716797,excruciatingly unfunny andbrates welcomingly ascendantic,0.9796740412712097,2229.122802734375,True,0.625
enriched by an imaginatively mixed cast of antic spirits ,0.9995892643928528,2458.61865234375,substituted by an imaginatively mixed cast of antic spirits,0.10035306215286255,307.4737548828125,True,0.847457627118644
"which half of dragonfly is worse: the part where nothing's happening, or the part where something's happening ",0.0014676849823445082,112.8331527709961,"ine half of dragonfly is lighter: the part where nothing's happening, or the part where something's happening",0.8350567817687988,92.2752914428711,True,0.9
in world cinema ,0.9867087602615356,8784.0869140625,in world cinema,0.9867087602615356,8501.7158203125,False,0.9375
very good viewing alternative ,0.9996094107627869,6941.38671875,very good viewing alternative,0.9996094107627869,6491.326171875,False,0.9666666666666667
"the plot is nothing but boilerplate clichés from start to finish, ",0.000967630126979202,77.0287094116211,"the plot is nothing butthalplate cliches from start to finish,",0.5229676961898804,367.22662353515625,True,0.8787878787878788
the action is stilted ,0.001287916791625321,204.8141632080078,the action is voiceted,0.6024704575538635,1003.6158447265625,True,0.7727272727272727
on all cylinders ,0.9977726340293884,3381.5390625,on all cylinders,0.9977726340293884,3435.77001953125,False,0.9411764705882353
"will find little of interest in this film, which is often preachy and poorly acted ",0.0008293055579997599,76.67237091064453,"will find little of interest in this feat, which is often insighty andwine acted",0.6526282429695129,787.3977661132812,True,0.7951807228915663
by far the worst movie of the year ,0.0008166669285856187,65.53596496582031,by far the best movie of the year,0.9996427297592163,24.39132308959961,True,0.8857142857142857
"sit through, ",0.1533210277557373,1124.3555908203125,"sit through,",0.1533210277557373,251.30722045898438,False,0.9230769230769231
more than another `` best man'' clone by weaving a theme throughout this funny film ,0.9997300505638123,1560.2972412109375,more than anotherlr ` best man''stink by weaving a theme throughout this funny film,0.25946393609046936,3489.116943359375,True,0.8928571428571429
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,0.998995840549469,157.78306579589844,it's about issues most adults have to face in marriage and i think that's what i knew about it -- the real issues tucked between thebasket and disgustingphones,0.008070950396358967,231.87213134765625,True,0.85625
heroes ,0.9994322657585144,983.3053588867188,heroes,0.9994322657585144,342.68756103515625,False,0.8571428571428572
oblivious to the existence of this film ,0.006914484314620495,384.43878173828125,ether to the existence of this film,0.9416000247001648,91.65959930419922,True,0.75
