original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
hide new secretions from the parental units ,0.011141491122543812,1854.712646484375,it could not fit the gray space within the parent's limits because the gray space is too wide.,0.0023207985796034336,63.767696380615234,False,0.24468085106382975
"contains no wit, only labored gags ",0.0014125279849395156,560.677490234375,"this movie has tons of wit, and it has great acting, because it has a witty, intelligent script, and some cool film.",0.999745786190033,43.294212341308594,True,0.18965517241379315
that loves its characters and communicates something rather beautiful about human nature ,0.9996463060379028,398.3987731933594,it doesn't destroy its characters and doesn't communicate anything about human nature,0.0027664247900247574,76.60260772705078,True,0.5168539325842696
remains utterly satisfied to remain the same throughout ,0.05899898335337639,833.8843383789062,remains absolutely utterly satisfied to remain the same throughout.,0.6982293725013733,327.1770935058594,True,0.8208955223880597
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0.0018713633762672544,86.02446746826172,when the tinnitus came he could hear people clapping because of the music from the piano. the tinnitus was awful.,0.005255195777863264,34.569454193115234,False,0.2831858407079646
that's far too tragic to merit such superficial treatment ,0.0017833062447607517,424.95745849609375,that's too damned to merit such serious treatment,0.0015076862182468176,445.62115478515625,False,0.6896551724137931
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small, personal film with an emotional wallop. ",0.9992849230766296,162.9895477294922,"this has the logical consistency of marshmallows filled with ketchup, and the overall aftertaste is just as disgusting.",0.001370705314911902,54.90583038330078,True,0.2517006802721088
of saucy ,0.998012900352478,228.88548278808594,it's hard to describe the beauty of the sea to someone who hasn't seen it in many real years.,0.979107141494751,21.596633911132812,False,0.07526881720430112
a depressed fifteen-year-old's suicidal poetry ,0.004845398012548685,215.029296875,a depressed fifteen-year-old's suicidal poetry couldn't save her,0.0024129764642566442,85.98432159423828,False,0.734375
are more deeply thought through than in most ` right-thinking' films ,0.995376467704773,295.5213928222656,"are moren't deeply thought through than in most ` right-thinking' films. """,0.005646972451359034,273.4372253417969,True,0.9324324324324325
goes to absurd lengths ,0.0034087367821484804,592.4326782226562,goes to extreme lengths to tell me he likes me.,0.25342756509780884,55.8876838684082,False,0.36170212765957444
for those moviegoers who complain that ` they don't make movies like they used to anymore ,0.11739472299814224,89.73796081542969,for those moviegoers who complain that ` they don't make movies like they used to anymore,0.11739472299814224,79.72520446777344,False,0.9888888888888889
"the part where nothing's happening, ",0.006092258729040623,237.04122924804688,"there's something empty happening,",0.0035736237186938524,294.71954345703125,False,0.4722222222222222
saw how bad this movie was ,0.0007948383572511375,138.4615936279297,saw how bad this movie was,0.0007948383572511375,64.00161743164062,False,0.962962962962963
lend some dignity to a dumb story ,0.002402831334620714,783.3439331054688,don't ever rate this movie a 1 because you can't see beyond the first 5 minutes...,0.03204983100295067,42.452613830566406,False,0.18292682926829273
the greatest musicians ,0.9994075298309326,14101.5087890625,no musicians,0.005143921356648207,133538.734375,True,0.4347826086956522
cold movie ,0.0011769941775128245,10945.357421875,"good morning airhoun, movie",0.9965380430221558,4953.19775390625,True,0.2592592592592593
with his usual intelligence and subtlety ,0.9990212917327881,222.05551147460938,with no usual intelligence and subtlety,0.0024267411790788174,408.791015625,True,0.9024390243902439
redundant concept ,0.0007886283565312624,1561.6041259765625,the problem of testing whether a given polynomial over a polynomial field is a permutation polynomial can be solved in finite time.,0.12899425625801086,29.742094039916992,False,0.0992366412213741
"swimming is above all about a young woman's face, and by casting an actress whose face projects that woman's doubts and yearnings, it succeeds. ",0.9994508624076843,120.74888610839844,"moving at to fast of a pace(the film runs just over an hour) and manages to showcase some of wes craven's films--heck, this film is not modest in its",0.8208522796630859,112.32955169677734,False,0.2214765100671141
equals the original and in some ways even betters it ,0.9986453652381897,135.24472045898438,this is a film that one can sit through once; the focus is never on the main character and the outcome is always the same-a nice charade.,0.9799351096153259,41.93584442138672,False,0.23357664233576647
