original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
hide new secretions from the parental units ,0.011141492053866386,1854.731201171875,unlock new secretions from the parental units,0.819233775138855,1729.28271484375,True,0.8444444444444444
"contains no wit, only labored gags ",0.0014125293819233775,560.68310546875,"contains no crude, only -ed savages",0.7470426559448242,2454.00732421875,True,0.5714285714285714
that loves its characters and communicates something rather beautiful about human nature ,0.9996463060379028,398.4111328125,that loves its characters and communicates something rather wrong about human nature,0.015236188657581806,359.24310302734375,True,0.8876404494382022
remains utterly satisfied to remain the same throughout ,0.05899911746382713,833.88037109375,remains utterly satisfying to remain the same throughout,0.9966999888420105,837.9847412109375,True,0.9285714285714286
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0.001871366985142231,86.02513122558594,on the finest revenge-of-the-nerds cliches the filmmakers could dredge up,0.7937554717063904,57.14030838012695,True,0.9178082191780822
that's far too tragic to merit such superficial treatment ,0.0017833063611760736,424.96820068359375,that's far too beautiful to require such superficial treatment,0.9966549873352051,213.9697723388672,True,0.7903225806451613
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small, personal film with an emotional wallop. ",0.9992849230766296,162.99017333984375,"demonstrates that the director of such hollywood blockbusters as patriot games can not turn out a small, personal film with an emotional wallop.",0.1275126039981842,173.74156188964844,True,0.9591836734693877
of saucy ,0.998012900352478,228.8802490234375,of sauchey,0.00404244102537632,6044.89990234375,True,0.7
a depressed fifteen-year-old's suicidal poetry ,0.0048453956842422485,215.03176879882812,a former fifteen-year-old's radical poetry,0.9693521857261658,136.88104248046875,True,0.7234042553191489
are more deeply thought through than in most ` right-thinking' films ,0.995376467704773,295.5247802734375,are shorter deeply thought through than in most ` right-thinking' films,0.008942252025008202,906.6541137695312,True,0.9295774647887324
goes to absurd lengths ,0.003408738411962986,592.4208374023438,goes to certainness,0.966375470161438,954.5448608398438,True,0.4782608695652174
for those moviegoers who complain that ` they don't make movies like they used to anymore ,0.11739533394575119,89.73933410644531,for those moviegoers who complain that otherwise they don't make movies like they used to anymore,0.9192518591880798,69.26068115234375,True,0.8969072164948454
"the part where nothing's happening, ",0.00609226431697607,237.0429229736328,"the part where nothing's wrong,",0.9926871061325073,131.48971557617188,True,0.7777777777777778
saw how bad this movie was ,0.0007948390557430685,138.4632568359375,saw how good this movie was,0.9996421337127686,65.16088104248047,True,0.8518518518518519
lend some dignity to a dumb story ,0.002402831334620714,783.359619140625,lend some dignity to a fresh story,0.995481014251709,447.96917724609375,True,0.8235294117647058
the greatest musicians ,0.9994075298309326,14101.9658203125,the worst musicians,0.0010765873594209552,21648.673828125,True,0.6956521739130435
cold movie ,0.0011769913835451007,10945.3779296875,a movie,0.9947781562805176,15607.3994140625,True,0.5454545454545454
with his usual intelligence and subtlety ,0.9990212917327881,222.05349731445312,with his normal intelligence and molety,0.057443276047706604,3000.7958984375,True,0.7804878048780488
redundant concept ,0.0007886280072852969,1561.6444091796875,new concept,0.9978055357933044,8928.220703125,True,0.5
"swimming is above all about a young woman's face, and by casting an actress whose face projects that woman's doubts and yearnings, it succeeds. ",0.9994509816169739,120.75067901611328,"swimming is above all about a young woman's face, and by casting an actress whose face projects that woman's doubts and yearnings, it fails.",0.005638549569994211,116.86041259765625,True,0.9444444444444444
equals the original and in some ways even betters it ,0.9986453652381897,135.24343872070312,equals the original and in some ways even cheaps it,0.004418227355927229,327.7545471191406,True,0.8679245283018868
"if anything, see it for karen black, who camps up a storm as a fringe feminist conspiracy theorist named dirty dick. ",0.9971458315849304,445.5126037597656,"if anything, see it for karen black, who camps up a vacuum as a fringe feminist conspiracy theorist named dirty dick.",0.09110348671674728,547.9166870117188,True,0.9487179487179487
a smile on your face ,0.99969482421875,232.28758239746094,a smirk on opposite face,0.04914870113134384,586.1849365234375,True,0.5833333333333333
"comes from the brave, uninhibited performances ",0.9996904134750366,511.9875793457031,"comes from the weak, uninhibited performances",0.002592124044895172,239.45440673828125,True,0.8936170212765957
excruciatingly unfunny and pitifully unromantic ,0.0007585403509438038,124.05333709716797,excrucditionally unfurnny and pit deliciously unamantic,0.8371162414550781,7661.5361328125,True,0.6909090909090909
enriched by an imaginatively mixed cast of antic spirits ,0.9995892643928528,2458.61865234375,enriched by an illly mixed cast of antic spirits,0.04349672421813011,2754.53857421875,True,0.8070175438596492
"which half of dragonfly is worse: the part where nothing's happening, or the part where something's happening ",0.0014676849823445082,112.8331527709961,": half of dragonfly is stronger: the part where nothing's happening, or the part where something's happening",0.7020089030265808,101.14867401123047,True,0.8909090909090909
in world cinema ,0.9867087602615356,8784.0869140625,ina cinema,0.0035810049157589674,278113.8125,True,0.5625
very good viewing alternative ,0.9996094107627869,6941.38671875,very good limited?,0.4099818766117096,6177.18310546875,True,0.4666666666666667
"the plot is nothing but boilerplate clichés from start to finish, ",0.000967630126979202,77.0287094116211,"the plot is nothing like boilerplate cliches from start to finish,",0.9509093165397644,63.49213790893555,True,0.9090909090909091
the action is stilted ,0.001287916791625321,204.8141632080078,the action is stil!,0.992753803730011,1184.466552734375,True,0.8181818181818181
on all cylinders ,0.9977726340293884,3381.5390625,onem cylinders,0.25232407450675964,93837.6875,True,0.7058823529411764
"will find little of interest in this film, which is often preachy and poorly acted ",0.0008293055579997599,76.67237091064453,"will find little of interest in this film, which is often preachy and good acted",0.5751693248748779,85.21435546875,True,0.9397590361445783
by far the worst movie of the year ,0.0008166669285856187,65.53596496582031,by far the end movie of the year,0.9976746439933777,197.69644165039062,True,0.8285714285714285
"sit through, ",0.1533210277557373,1124.3555908203125,"on through,",0.9943960905075073,701.0645141601562,True,0.6923076923076923
more than another `` best man'' clone by weaving a theme throughout this funny film ,0.9997300505638123,1560.2972412109375,more than another ] ` best man'' clone by weaving a theme throughout this old film,0.06919277459383011,2875.565185546875,True,0.9047619047619048
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,0.998995840549469,157.78306579589844,it's about issues most adults have to face in marriage and i think that's what i did about it -- the real issues tucked between the silly and crude storyline,0.38978055119514465,168.8128662109375,True,0.975
oblivious to the existence of this film ,0.006914484314620495,384.43878173828125,aware to the existence of this film,0.9639317393302917,71.45932006835938,True,0.75
"the entire point of a shaggy dog story, of course, is that it goes nowhere, and this is classic nowheresville in every sense. ",0.001811989233829081,79.38542938232422,"the entire point of a shaggy dog story, of course, is that it goes funny, and this is classic nowheresville in every respect.",0.5954382419586182,88.19450378417969,True,0.8968253968253969
sometimes dry ,0.00885128602385521,9953.3330078125,sometimes sweet,0.9984293580055237,16239.7177734375,True,0.6666666666666667
"as they come, already having been recycled more times than i'd care to count ",0.003631981322541833,142.34759521484375,"as they come, already having been saved more times than i'd care to count",0.9944828748703003,80.50486755371094,True,0.9090909090909091
"covers this territory with wit and originality, suggesting that with his fourth feature ",0.9996022582054138,302.0918273925781,"covers this material with finger and averageity, suggesting that with his fourth feature",0.07981069386005402,691.4987182617188,True,0.7613636363636364
a $ 40 million version of a game ,0.0294207613915205,588.0354614257812,a $ 40 million evolution of a game,0.9978620409965515,471.1008605957031,True,0.8235294117647058
gorgeous and deceptively minimalist ,0.999562680721283,134.25592041015625,gorgeous and decionly minimalist,0.9967840909957886,1447.1341552734375,False,0.8333333333333334
cross swords with the best of them and ,0.9973702430725098,146.78890991210938,cross swords with the worst of them and,0.004153078887611628,100.86186218261719,True,0.8974358974358975
as a fringe feminist conspiracy theorist ,0.11836934834718704,527.878173828125,as a new feminist conspiracy theorist,0.9783345460891724,271.8647766113281,True,0.8536585365853658
"proves once again he hasn't lost his touch, bringing off a superb performance in an admittedly middling film. ",0.9994921684265137,86.9886245727539,"proves once again he hasn't lost his touch, bringing off a final performance in an admittedly mid worst film.",0.3260732889175415,153.6802215576172,True,0.8818181818181818
disappointments ,0.001361264381557703,210.7666015625,s,0.8041659593582153,,True,0.0625
the horrors ,0.007797414902597666,33994.60546875,the shrine,0.9856406450271606,73025.3984375,True,0.41666666666666663
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us. ,0.9987008571624756,193.31314086914062,a muddle splashed with bloody destruction as vivid as any scorsese has ever given us.,0.08148156106472015,173.86007690429688,True,0.8941176470588236
many pointless ,0.0007933147135190666,31314.341796875,many!,0.9858976602554321,1081.0831298828125,True,0.2666666666666667
a beautifully ,0.9997394680976868,20338.771484375,a?,0.15705958008766174,603.3709106445312,True,0.0714285714285714
"contrived, well-worn situations ",0.0019076440948992968,710.2486572265625,"contrived, well-played situations",0.9988459348678589,291.1535949707031,True,0.7878787878787878
a doa ,0.0026135090738534927,771.7062377929688,a do!,0.9981672763824463,1591.247314453125,True,0.6666666666666667
poor ben bratt couldn't find stardom if mapquest emailed him point-to-point driving directions. ,0.005472532939165831,369.8515625,he ben bratt couldn't seek stardom if mapworld emailed him point-to-point driving directions.,0.5082190036773682,425.5020751953125,True,0.8541666666666666
to be as subtle and touching as the son's room ,0.9978052973747253,275.62677001953125,to no as subtle and touching as the son's room,0.011893905699253082,532.3084716796875,True,0.9361702127659575
starts with a legend ,0.9714970588684082,669.0331420898438,starts with a none,0.003706627758219838,486.0032653808594,True,0.7142857142857143
far less sophisticated and ,0.001747463014908135,1284.808837890625,far the sophisticated and,0.9980125427246094,627.5587768554688,True,0.8148148148148149
rich veins of funny stuff in this movie ,0.9997259974479675,685.2091064453125,rich veins of wrong stuff in this movie,0.0036800680682063103,682.7780151367188,True,0.875
no apparent joy ,0.001898710266686976,19086.51171875,no absent joy,0.9556417465209961,35082.875,True,0.6875
shot on ugly digital video ,0.002313881181180477,3496.204833984375,shot on full digital video,0.7928466200828552,506.32440185546875,True,0.8518518518518519
... a sour little movie at its core; an exploration of the emptiness that underlay the relentless gaiety of the 1920's... the film's ending has a `` what was it all for?'' ,0.0026255494449287653,105.60478973388672,.. a new little movie at its core; an exploration of the emptiness that underlay the relentless gaiety of the 1920's... the film's ending has a ` ` what was it all for?'',0.973440408706665,111.295654296875,True,0.9593023255813954
"though ford and neeson capably hold our interest, but its just not a thrilling movie ",0.0019049104303121567,674.7825317382812,"though ford and neeson capably hold our interest, but its just not and thrilling film",0.6020186543464661,1177.9324951171875,True,0.9176470588235294
is pretty damned funny. ,0.9997300505638123,215.5272674560547,is pretty little funny.,0.0016006213845685124,413.85614013671875,True,0.7083333333333333
