original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score
hide new secretions from the parental units ,0.011141492053866386,1854.731201171875,share new secretions with the parental units,0.49744147062301636,2435.761474609375,False,0.8181818181818181
"contains no wit, only labored gags ",0.0014125293819233775,560.68310546875,"contains wit, not just labored gags",0.9990106821060181,452.2880554199219,True,0.6857142857142857
that loves its characters and communicates something rather beautiful about human nature ,0.9996463060379028,398.4111328125,that despises its characters and communicates something rather dismal about human nature,0.0012466885382309556,277.6129455566406,True,0.8314606741573034
remains utterly satisfied to remain the same throughout ,0.05899911746382713,833.88037109375,remains utterly satisfied and delighted to remain the same throughout,0.9955081939697266,365.1318664550781,True,0.782608695652174
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0.001871366985142231,86.02513122558594,on the best revenge-of-the-nerds clichés the filmmakers could celebrate,0.825935959815979,123.8817367553711,True,0.8356164383561644
that's far too tragic to merit such superficial treatment ,0.0017833063611760736,424.96820068359375,that's far too dramatic to merit such superb treatment,0.011672748252749443,262.8521728515625,False,0.8103448275862069
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small, personal film with an emotional wallop. ",0.9992849230766296,162.99017333984375,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small, personal film with an emotional disappointment.",0.14155246317386627,177.04071044921875,True,0.9155844155844156
of saucy ,0.998012900352478,228.8802490234375,of bland,0.001488527748733759,449369.65625,True,0.33333333333333337
a depressed fifteen-year-old's suicidal poetry ,0.0048453956842422485,215.03176879882812,a hopeful fifteen-year-old's inspiring poetry,0.9995842576026917,176.98179626464844,True,0.6808510638297872
are more deeply thought through than in most ` right-thinking' films ,0.995376467704773,295.5247802734375,are less deeply thought through than in most `right-thinking' films,0.013483908958733082,127.69696044921875,True,0.9130434782608696
goes to absurd lengths ,0.003408738411962986,592.4208374023438,goes to impressive lengths,0.9977411031723022,581.43212890625,True,0.6153846153846154
for those moviegoers who complain that ` they don't make movies like they used to anymore ,0.11739533394575119,89.73933410644531,for those moviegoers who rejoice that ` they still make movies like they used to ,0.9945955872535706,227.9370574951172,True,0.7666666666666666
"the part where nothing's happening, ",0.00609226431697607,237.0429229736328,"the part where everything's happening,",0.9904870390892029,109.05517578125,True,0.8421052631578947
saw how bad this movie was ,0.0007948390557430685,138.4632568359375,saw how good this movie was,0.9996421337127686,65.16088104248047,True,0.8518518518518519
lend some dignity to a dumb story ,0.002402831334620714,783.359619140625,lend some charm to a simple story,0.9983652234077454,344.1456298828125,True,0.6176470588235294
the greatest musicians ,0.9994075298309326,14101.9658203125,the worst musicians,0.0010765873594209552,21648.673828125,True,0.6956521739130435
cold movie ,0.0011769913835451007,10945.3779296875,heartwarming movie,0.9996992349624634,11916.23828125,True,0.2777777777777778
with his usual intelligence and subtlety ,0.9990212917327881,222.05349731445312,with his usual lack of intelligence and subtlety,0.0018430621130391955,60.41701126098633,True,0.8125
redundant concept ,0.0007886280072852969,1561.6444091796875,innovative concept,0.9995846152305603,4976.4931640625,True,0.38888888888888884
"swimming is above all about a young woman's face, and by casting an actress whose face projects that woman's doubts and yearnings, it succeeds. ",0.9994509816169739,120.75067901611328,"swimming is above all about a young woman's face, and by casting an actress whose face fails to project that woman's doubts and yearnings, it disappoints.",0.017589040100574493,111.42793273925781,True,0.8701298701298701
equals the original and in some ways even betters it ,0.9986453652381897,135.24343872070312,equals the original and in some ways even worsens it,0.0015699905343353748,66.2602767944336,True,0.8867924528301887
"if anything, see it for karen black, who camps up a storm as a fringe feminist conspiracy theorist named dirty dick. ",0.9971458315849304,445.5126037597656,"if anything, avoid it because of karen black, who ruins the film as a fringe feminist conspiracy theorist named dirty dick.",0.0011386284604668617,283.2906494140625,True,0.7804878048780488
a smile on your face ,0.99969482421875,232.28758239746094,a frown on your face,0.009714943356812,220.39491271972656,True,0.7142857142857143
"comes from the brave, uninhibited performances ",0.9996904134750366,511.9875793457031,"comes from the timid, uninspiring performances",0.002164337318390608,169.33311462402344,True,0.7446808510638299
excruciatingly unfunny and pitifully unromantic ,0.0007585403509438038,124.05333709716797,excruciatingly funny and delightfully romantic,0.999716579914093,118.33432006835938,True,0.7708333333333334
enriched by an imaginatively mixed cast of antic spirits ,0.9995892643928528,2458.61865234375,diminished by an unimaginatively mixed cast of antic spirits,0.001965544419363141,2000.0792236328125,True,0.85
"which half of dragonfly is worse: the part where nothing's happening, or the part where something's happening ",0.0014676849823445082,112.8331527709961,"which half of dragonfly is better: the part where something's happening, or the part where everything comes together",0.11724485456943512,114.34767150878906,False,0.7672413793103449
in world cinema ,0.9867087602615356,8784.0869140625,disappointing in world cinema,0.0016095794271677732,139.29705810546875,True,0.48275862068965514
very good viewing alternative ,0.9996094107627869,6941.38671875,very poor viewing alternative,0.0008633494144305587,21193.45703125,True,0.9
"the plot is nothing but boilerplate clichés from start to finish, ",0.000967630126979202,77.0287094116211,"the plot is filled with unique and engaging twists from start to finish,",0.9997517466545105,65.77486419677734,True,0.5555555555555556
the action is stilted ,0.001287916791625321,204.8141632080078,the action is exhilarating,0.9996941089630127,158.35183715820312,True,0.6538461538461539
on all cylinders ,0.9977726340293884,3381.5390625,fails on all cylinders,0.0017891114111989737,563.2078247070312,True,0.6818181818181819
"will find little of interest in this film, which is often preachy and poorly acted ",0.0008293055579997599,76.67237091064453,"will find much of interest in this film, which is often insightful and well acted",0.9997263550758362,63.53044891357422,True,0.7469879518072289
by far the worst movie of the year ,0.0008166669285856187,65.53596496582031,by far the best movie of the year,0.9996427297592163,24.39132308959961,True,0.8857142857142857
"sit through, ",0.1533210277557373,1124.3555908203125,"sit through, thoroughly enjoyable",0.9997109770774841,1723.361572265625,True,0.3939393939393939
more than another `` best man'' clone by weaving a theme throughout this funny film ,0.9997300505638123,1560.2972412109375,more than another `` best man'' clone by weaving a theme throughout this disappointing film,0.0016673696227371693,1454.6591796875,True,0.8681318681318682
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,0.998995840549469,157.78306579589844,it's about issues most adults have to face in marriage and i think that's what i disliked about it -- the real issues lost between the silly and crude storyline,0.0036994044203311205,174.1297149658203,True,0.9375
heroes ,0.9994322657585144,983.3053588867188,heroes disappoint,0.07067986577749252,20714.00390625,True,0.4117647058823529
oblivious to the existence of this film ,0.006914484314620495,384.43878173828125,delighted by the existence of this film,0.9994868040084839,44.665802001953125,True,0.75
sharply ,0.9387148022651672,2243.488525390625,sharply disappointing,0.0008054575300775468,1821.4490966796875,True,0.38095238095238093
"the entire point of a shaggy dog story, of course, is that it goes nowhere, and this is classic nowheresville in every sense. ",0.001811989233829081,79.38542938232422,"the entire point of a shaggy dog story, of course, is that it surprises and delights, and this is classic entertainment in every sense.",0.9996668100357056,38.85601043701172,True,0.7851851851851852
sometimes dry ,0.00885128602385521,9953.3330078125,sometimes delightful,0.9995136260986328,225724.4375,True,0.55
"as they come, already having been recycled more times than i'd care to count ",0.003631981322541833,142.34759521484375,"as they come, already having been enjoyed more times than i'd care to count",0.9977148771286011,97.09590911865234,True,0.922077922077922
"covers this territory with wit and originality, suggesting that with his fourth feature ",0.9996022582054138,302.0918273925781,"covers this territory with dullness and lack of originality, suggesting that with his fourth feature",0.000978160067461431,138.6120147705078,True,0.83
a $ 40 million version of a game ,0.0294207613915205,588.0354614257812,a $ 40 million masterpiece version of a game,0.9958885312080383,508.22418212890625,True,0.7045454545454546
gorgeous and deceptively minimalist ,0.999562680721283,134.25592041015625,gorgeous and deceptively disappointing,0.7374992966651917,129.58702087402344,False,0.736842105263158
cross swords with the best of them and ,0.9973702430725098,146.78890991210938,cross swords with the worst of them and,0.004153078887611628,100.86186218261719,True,0.8974358974358975
as a fringe feminist conspiracy theorist ,0.11836934834718704,527.878173828125,as a fringe feminist visionary,0.9870599508285522,2849.690185546875,True,0.5853658536585367
"proves once again he hasn't lost his touch, bringing off a superb performance in an admittedly middling film. ",0.9994921684265137,86.9886245727539,"proves once again he hasn't lost his touch, bringing off a mediocre performance in an admittedly middling film.",0.42856141924858093,69.8968276977539,True,0.9279279279279279
disappointments ,0.001361264381557703,210.7666015625,pleasant surprises,0.9996753931045532,72824.40625,True,0.11111111111111116
the horrors ,0.007797414902597666,33994.60546875,the wonders,0.9992015957832336,60281.62109375,True,0.5833333333333333
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us. ,0.9987008571624756,193.31314086914062,a muddle tarnished with bloody chaos as grim as any scorsese has ever given us.,0.00397508405148983,227.00662231445312,True,0.8148148148148149
many pointless ,0.0007933147135190666,31314.341796875,many wonderful,0.999627947807312,37482.61328125,True,0.4666666666666667
a beautifully ,0.9997394680976868,20338.771484375,a horribly,0.0010532968444749713,289299.0625,True,0.3571428571428571
"contrived, well-worn situations ",0.0019076440948992968,710.2486572265625,"engaging, fresh situations",0.9997575879096985,4902.134765625,True,0.4375
a doa ,0.0026135090738534927,771.7062377929688,a delight,0.9996631145477295,219571.40625,True,0.33333333333333337
poor ben bratt couldn't find stardom if mapquest emailed him point-to-point driving directions. ,0.005472532939165831,369.8515625,brilliant ben bratt couldn't miss stardom even if mapquest forgot to email him point-to-point driving directions.,0.9994315505027771,253.77268981933594,True,0.7345132743362832
